AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
37,FALSE,CAL FIRE San Diego County Fire,2,2019,TRUE,/incidents/2019/10/25/miller-fire/,"<p> Evacuation Center: Valley Center Community Center 

<p> Evacuation Shelter :  Valley Center Middle School, 28102 N Lake Wohlford Road.

<p> Evacuation Order: All of Terrace View Ln, area West of Cool Valley Highlands, area North of Puma Trail.

<p>Evacuation has been issued please see map. <a href=""https://www.fire.ca.gov/media/9967/evacuation-grid-for-miller-fire.jpg"">Map Grid</a>

<p> Road Closures: Cole Grade Rd. is closed at the intersections of Miller Ln., Valley Center Rd., and Oak Glen Pl.

<p> Hard closures: Terrace View Lane at Cool Valley Rd, Wilhite Lane South of Puma Trail, Coyote Run at Rabbit Run, Cool Valley Highlands Rd at Cool Valley Rd",,San Diego,37,4,2,10,2019-10-27T18:05:00Z,,TRUE,TRUE,,4,,33.259861,"Miller Lane and Cole Grade Lane, North of Valley Center ",-117.027333,TRUE,Miller Fire,100,100,TRUE,,"The Miller Fire started on October 25, 2019 off Miller Lane and Cole Grade Lane, North of Valley Center in San Diego County",2019-10-25T15:05:52Z,Finalized,1,3,,,,,
35,FALSE,CAL FIRE Santa Clara Unit,,2019,TRUE,/incidents/2019/10/24/mines-fire/,,,Alameda,1,,,,2019-10-27T13:55:00Z,,TRUE,TRUE,,,,37.62782,"Mines Rd and Del Valle Rd, southeast of Livermore",-121.68598,FALSE,Mines Fire,100,,TRUE,"The Mines Fire started October 25, 2019 off Mines Rd and Del Valle Rd, southeast of Livermore in Alameda County.",,2019-10-24T23:16:18Z,Finalized,,,,,,,
35,FALSE,CAL FIRE Santa Clara Unit,,2019,TRUE,/incidents/2019/7/18/rains-fire/,,,Stanislaus,50,,,,2019-07-18T10:29:00Z,,TRUE,TRUE,,,,37.420988,"Frank Raines Park on Del Puerto Canyon Road, west of Patterson",-121.371276,FALSE,Rains Fire,100,,TRUE,"The Raines Fire started on July 18, 2019 in Stanislaus County.",,2019-07-18T09:07:57Z,Finalized,,,,,,,
30,FALSE,CAL FIRE Shasta-Trinity Unit,,2019,TRUE,/incidents/2019/7/12/horse-fire/,,,Shasta,45,,,,,,TRUE,TRUE,Grass,,,40.463936,"Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda",-122.435492,FALSE,Horse Fire,100,,TRUE,"The Horse Fire started July 12 2019 off Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda in Shasta County","Horse Fire, Blue Horse Rd, Saddle Trail,  Olinda, Shasta County",2019-07-12T19:08:54Z,Finalized,,,,,,,
27,FALSE,CAL FIRE Tuolumne-Calaveras Unit,,2019,TRUE,/incidents/2019/7/18/whiskey-fire/,,,Calaveras,5,,,,2019-07-20T08:56:00Z,,TRUE,TRUE,,,,38.115224,near the Whiskey Creek Day Use area of New Hogan Lake,-120.78068,FALSE,Whiskey Fire,100,,TRUE,,,2019-07-18T18:31:00Z,Finalized,,,,,,,
26,FALSE,CAL FIRE San Bernardino Unit,,2019,TRUE,/incidents/2019/8/3/la-barisa-fire/,,Forward spreads stopped.,San Bernardino,36,,,,2019-08-04T06:39:00Z,,TRUE,TRUE,,,,34.202883,Off La Barisa Dr & Hwy 247 in Landers,-116.4449,FALSE,La Barisa Fire,100,,TRUE,,,2019-08-03T17:22:51Z,Finalized,,,,,,,
25,FALSE,CAL FIRE / San Diego County Fire,,2019,TRUE,/incidents/2019/7/17/vista-fire/,,The forward spread has been stopped and firefighters continue to make good progress. All evacuation warnings have been lifted. Full containment expected later today.,San Diego,37,,,,2019-07-18T15:58:00Z,,TRUE,TRUE,,,,32.794768,Off Vista De La Montana in the Dehesa area,-116.839743,TRUE,Vista Fire,100,,TRUE,"The Vista Fire started on July 17, 2019 in San Diego County.",,2019-07-17T17:42:04Z,Finalized,,,,,,,
22,FALSE,CAL FIRE Amador-El Dorado,,2019,TRUE,/incidents/2019/9/29/chaparral-fire/,Firefighters have stopped forward progress on a Vegetation Fire in the area of Chaparral Drive and Latrobe Road in Latrobe,,El Dorado,9,,,,2019-09-29T21:35:00Z,,TRUE,TRUE,,,,38.538467,Chaparral Drive and Latrobe Road in Latrobe,-120.965105,FALSE,Chaparral Fire,100,,TRUE,"The Chaparral Fire started September 29, 2019 in the area of Chaparral Drive and Latrobe Road in Latrob.",,2019-09-29T21:44:45Z,Finalized,,,,,,,
22,FALSE,CAL FIRE SCU,,2019,TRUE,/incidents/2019/7/12/mid-fire/,,,Alameda,1,,,,2019-07-12T19:20:00Z,,TRUE,TRUE,Grass,,,37.093243,"patterson pass and mid way, eastern",-121.586846,FALSE,Mid Fire,100,,TRUE,"The Mid Fire started July 12 2019 near Patterson Pass and Mid Way, Eastern (Alameda County)","Mid Fire, July 12 2019, Patterson Pass, Mid Way, Eastern, Alameda County",2019-07-12T18:40:09Z,Finalized,,,,,,,
15,FALSE,CAL FIRE Santa Clara Unit,,2019,TRUE,/incidents/2019/10/15/nustar-fire/,,,Contra Costa,7,,,,,,TRUE,TRUE,,,,38.045866,"San Pablo Ave and Cummings Skyway, Crockett",-122.245186,FALSE,Nustar Fire,100,,TRUE,"The Nustar vegetation fire started October 15, 2019 off San Pablo Ave and Cummings Skyway, Crockett in Contra Costa County. Lead agency on petroleum fire: NuStar Energy and Crockett Fire Protection District.",,2019-10-15T16:17:18Z,Finalized,,,,,,,
12,FALSE,CAL FIRE / Riverside County Fire,,2019,TRUE,/incidents/2019/8/27/sage-fire/,,,Riverside,33,,,,2019-08-27T08:54:00Z,,TRUE,TRUE,,,,33.463991,"near the intersection of Sage Road and Highway 79, in Aguanga",-116.914799,FALSE,Sage Fire,100,,TRUE,"The Sage Fire started on August 27, 2019 near the intersection of Sage Road and Highway 79, in Aguanga in Riverside County.",,2019-08-27T11:33:56Z,Finalized,,,,,,,
10,FALSE,MEU,,2019,TRUE,/incidents/2019/10/4/wilson-fire/,,,Mendocino,23,,,,,,TRUE,TRUE,,,,39.613783,"Highway 101 south of Sloan and Old Sherwood Road in Willits, California",-123.458782,FALSE,Wilson Fire,100,,TRUE,"The Wilson Fire started on October 4th, 2019 near Highway 101, south of Sloan and Old Sherwood Road in Willits, California.",,2019-10-04T18:38:09Z,Finalized,,,,,,,
10,FALSE,CAL FIRE San Mateo-Santa Cruz Unit,,2019,TRUE,/incidents/2019/9/3/deer-fire/,,,Santa Cruz,44,,,,2019-09-06T19:48:00Z,,TRUE,TRUE,timber,,,37.178353,"Deer Creek Road and Rons Road, northeast of Boulder Creek",-122.07743,FALSE,Deer Fire,100,,TRUE,"The Deer Fire started September 3, 2019 off Deer Creek Road and Rons Road, northeast of Boulder Creek in Santa Cruz County.",,2019-09-03T15:36:45Z,Finalized,,,,,,,
77758,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2019,TRUE,/incidents/2019/10/23/kincade-fire/,"<p>All evacuations have been lifted at this time; however, the Sonoma County Public Health Order is still in place. For any inquiries about this health order, please visit <a href=""https://tinyurl.com/sonomacountypublichealthorder"">https://tinyurl.com/sonomacountypublichealthorder</a>.
<P>
For recovery information please visit <a href=""http:www.socoemergency.org"">www.socoemergency.org</a> or call 211
<p>
The County of Sonoma is also working to establish processes for safe debris
removal. For more information on the recovery process: <b>Call 211 or 1-800-325-9604</b>
<P>
<B>
For information on returning home after a wildfire:
<a href=""https://tinyurl.com/calfirereturnhome"">https://tinyurl.com/calfirereturnhome</a>
<P>
For gas and electric safety information tips:
<a href=""https://www.pge.com/returninghome"">https://www.pge.com/returninghome</a>
<P>
For information on AT&T internet and phone services:
<a href=""https://www.att.com/capoweroutage"">www.att.com/capoweroutage</a>
<P>
<P>
</B>
<p>
<p><b>Local Assistance Center (LAC):</b>: Healdsburg Community Center, 1557 Healdsburg Ave., Healdsburg, CA 95448. 
<p>
<p><b><p>To view the interactive map for Sonoma, Napa or Lake county please visit the following site: <a href=""https://tinyurl.com/kincadeincidentmap"">Kincade Incident Map</a> </b>

<p>
New Kincade Fire Evacuation Warning and Order Update (11/03/19 @3:00PM) <a href=""https://fire.ca.gov/media/10050/11319_1500_repop.pdf"">https://fire.ca.gov/media/10050/11319_1500_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (11/02/19 @3:00PM) <a href=""https://www.fire.ca.gov/media/10046/new-kincade-fire-evacuation-repopulation-information-11219_.pdf"">https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (11/01/19 @1:00PM) <a href=""https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf"">https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/31/19 @2:00PM) <a href=""https://www.fire.ca.gov/media/10019/103119repopulation.pdf"">https://www.fire.ca.gov/media/10019/103119repopulation.pdf,</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/28/19 @6:00PM) <a href=""https://www.fire.ca.gov/media/9999/102819-kincade-fire-evacuation-warning-lake-county.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/28/19 @2:00PM) <a href=""https://gallery.mailchimp.com/1eab3f5545f6a6e4d33c94dcb/files/cae59ba9-f7ca-4481-b593-3dfa2851ab55/10.28.19_1300_repop_7.8_s.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<P>

New Kincade Fire Evacuation Warning and Order Update (10/27/19 @12:45PM) <a href=""https://www.fire.ca.gov/media/9990/102719_1245_evac_o_napa.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<P>

New Kincade Fire Evacuation Warning and Order Update (10/27/19 @4:30AM) <a href=""https://www.fire.ca.gov/media/9986/102719_0430_evac_o.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<p>

New Kincade Fire Evacuation Warning and Order Update (10/26/19 @6:30PM) <a href=""https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<p>

New Kincade Fire Evacuation Warning and Order Update (10/26/19 @10AM): <a href=""https://www.fire.ca.gov/media/9980/102619_1000_evac_o.pdf"">https://www.fire.ca.gov/media/9980/102619_1000_evac_o.pdf</a>",,Sonoma,49,2,0,5,2019-11-06T19:00:00Z,,FALSE,TRUE,Vegetation,0,4,38.792458,"John Kincade Road and Burned Mountain Road, northeast of Geyserville",-122.780053,TRUE,Kincade Fire,100,55,TRUE,"The Kincade Fire started on October 23, 2018 off John Kincade Road and Burned Mountain Road, northeast of Geyserville in Sonoma County","<a href=""https://tinyurl.com/lakecountymap"">To view the most current Lake County Map, follow this link:</a>

<a href=""https://tinyurl.com/napacountymap"">To view the most current Napa County Map, follow this link:</a>

<a href=""https://tinyurl.com/sonomacountymap"">To view the most current Sonoma County Map, follow this link:</a>

To view the most current Sonoma County Map, follow this link: <a href=""https://tinyurl.com/sonomacountymap""</a>",2019-10-23T21:27:00Z,Finalized,60,374,,,,,
54612,FALSE,USFS Plumas National Forest,,2019,FALSE,/incidents/2019/9/4/walker-fire/,,,Plumas,32,,,,,,FALSE,TRUE,,,,40.061389,"Indian Creek and Beckworth Genesee Road, east of Genesee",-120.680556,FALSE,Walker Fire,100,468,TRUE,"The Walker Fire started September 4, 2019 off Indian Creek and Beckworth Genesee Road, east of Genesee in Plumas County.",,2019-09-04T15:17:31Z,Finalized,,,,,,,
14217,FALSE,Modoc National Forest,,2019,FALSE,/incidents/2019/7/28/tucker-fire/,(Not a CAL FIRE Incident). CAL FIRE is assisting Modoc National Forest with air and ground resources.,,Modoc,25,,,,2019-08-11T12:16:00Z,,FALSE,TRUE,,,,41.79591,"Hwy 139 and Tucker Butte Rd, 6 miles SW of Clear Lake Reservoir",-121.260305,FALSE,Tucker Fire,100,,TRUE,"The Tucker Fire started on July 28, 2019 off Hwy 139 and Tucker Butte Rd, 6 miles SW of Clear Lake Reservoir in Modoc County.",,2019-07-28T15:58:00Z,Finalized,,,,,,,
10296,FALSE,Inyo National Forest     ,,2019,FALSE,/incidents/2019/9/6/taboose-fire/,,,Inyo,14,8,1,8,2019-11-21T16:09:00Z,,FALSE,TRUE,,5,,37.034,south west of Big Pine and north west of Aberdeen,-118.345,TRUE,Taboose Fire,100,269,TRUE,"Taboose Fire started on September 4, 2019 south west of Big Pine and north west of Aberdeen in Inyo County.",,2019-09-06T12:43:35Z,Finalized,,,,,,,
9999,FALSE,Ventura County Fire Department ,,2019,TRUE,/incidents/2019/10/31/maria-fire/,,,Ventura,56,17,,45,2019-11-06T18:00:00Z,,FALSE,TRUE,,,,34.302212,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",-118.997115,TRUE,Maria Fire ,100,626,TRUE,"Maria Fire started on October 31, 2019 off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula in Ventura County.",,2019-10-31T20:58:28Z,Finalized,,4,,,,,
8838,FALSE,CAL FIRE Tehama Glenn Unit ,3,2019,TRUE,/incidents/2019/9/5/red-bank-fire/,"Today, firefighters are preparing for significant weather change that will last through Friday. Temperatures will be significantly hotter and drier with light winds from the north. Due to the remote location of the fire, approximately 60 firefighting crews will be transported by helicopter to further enhance fire suppression efforts continuing to close in on containment lines.

<p> CAL FIRE IMT 5 is working in conjunction with the United States Forest Service and CIIMT 16 resources, and has assumed suppression responsibilities for State Responsibility Area land located south of Cottonwood Creek. The total number of resources stated above includes both Branch Ten of the South Fire and the Red Bank Fire incident.

<p> Motorists should drive cautiously and always yield to emergency vehicles that are traveling on and off of the roads and highways. Fire danger remains elevated and everyone should continue to use extreme caution and refrain from daily activities that may spark a wildland fire. “Ready, Set, Go” is a user-friendly website that shows homeowners step-by-step instructions for hardening their homes and protecting their families from the dangers of wildfires. For more information, visit www.readyforwildfire.org.",,Tehama,52,53,27,98,2019-09-13T19:00:00Z,,FALSE,TRUE,,20,,40.12,"Off Hammer Loop Road and Petty John Road, West of Red Bluff ",-122.64,TRUE,Red Bank Fire,100,1936,TRUE,"Red Bank Fire started on September 5, 2019 off Hammer Loop Road and Petty John Road, West of Red Bluff in Tehama County.",,2019-09-05T13:19:56Z,Finalized,,2,,,,,
8799,FALSE,Unified Command: Los Angeles County Fire Department and Los Angeles City Fire Department and Angeles National Forest,,2019,FALSE,/incidents/2019/10/10/saddle-ridge-fire/,"<p>Firefighters from The Los Angeles City Fire Department, The Los Angeles County Fire Department, and
Angeles National Forest have made significant progress working in their respective jurisdictions with
support from assisting agencies to increase containment lines and address hot spots. 

<p>Tactical patrols will remain in place to monitor the area as low humidity and northerly winds remain a concern through Wednesday with the strongest gusts expected tonight and tomorrow morning. 

<p>The public is reminded to please drive cautiously and yield to emergency personnel working around the burn area.

<p>The cause of the Saddle Ridge Fire remains under active investigation.

<p>This will be the “Final” update on this incident in this format. Any additional updates will be distributed through each jurisdiction’s normal platforms.

<p>Please be advised, due to decreased requests for assistance, demobilization of the Local Assistance Center (LAC) has begun. County and State agencies will be released at the closure of the LAC today, October 21, 2019. However, all LA City agencies will provide Saddle Ridge Fire recovery resources at the Sylmar Recreation Center until Tuesday, October 22, 2019 ending at 7:00pm. After the closure of the LAC, 211 will continue to provide recovery assistance information and referrals.

<p>Sylmar Recreation Center.
<p>Dates: Thursday, October 17, 2019 - Saturday, October 22, 2019
<p>Hours of Operation: (Monday - Tuesday) 9:30am to 7:00pm
<p>Public call 213-213-5228 or visit lacity.org/recovery
<p>
To ensure the safety of both the public and first responders, the Angeles NF has closed a section of the forest due to the fire.
Please refer to go.usa.gov/xVzN5.",,Los Angeles,19,,,,2019-10-31T09:10:00Z,1,FALSE,TRUE,Brush,,8,34.32988,"Saddle Ridge Rd, Sylmar",-118.48161,TRUE,Saddle Ridge Fire,100,206,TRUE,"The Saddle Ridge Fire started October 10, 2019 off Saddle Ridge Rd, Sylmar in Los Angeles County.",,2019-10-10T21:02:00Z,Finalized,88,19,,,,,
5737,FALSE,USFS - Modoc National Forest,,2019,FALSE,/incidents/2019/9/6/lone-fire/,,,Modoc,25,,,,2019-09-13T07:19:00Z,,FALSE,TRUE,,,,41.748,"Pinnacle Lake, Doublehead Ranger district, Modoc National Forest",-121.056,FALSE,Lone Fire,100,40,TRUE,"The Lone Fire started on September 4, 2019 in the Modoc National Forest in Modoc County.",,2019-09-06T11:34:27Z,Finalized,,,,,,,
5563,FALSE,CAL FIRE Madera Mariposa Merced Unit,,2019,TRUE,/incidents/2019/10/6/briceburg-fire/,"Highway 140 is open; please drive cautiously. Smoke will be visible within the fires boundary for potentially several weeks. This is the final update.

<p>Yosemite National Park remains open. For information on Yosemite National Park, go to nps.gov/yose or call 209-372-0200.

<p>Evacuations: All Mandatory Evacuation Orders and Fire advisements have been lifted. Buffalo Gulch Road is open.",,Mariposa,22,,,,,,FALSE,TRUE,,,,37.604638,Highway 140 and Briceburg Bridge Road north of Midpines ,-119.96606,TRUE,Briceburg Fire,100,19,TRUE,"The Briceburg Fire started October 6, 2019 off of Highway 140 and Briceburg Bridge Road north of Midpines in Mariposa County.",,2019-10-06T16:15:12Z,Finalized,,1,,,,,
5332,FALSE,Shasta-Trinity National Forest ,,2019,FALSE,/incidents/2019/9/5/south-fire/,,,Tehama,52,,,,2019-12-02T16:12:00Z,,FALSE,TRUE,,,,40.109,"Southeast aspect of Tomhead Mountain, South of Platina",-122.789,FALSE,South Fire,100,,TRUE,"South Fire started on September 5, 2019 Southeast aspect of Tomhead Mountain, South of Platina in Tehama County.",,2019-09-05T19:59:46Z,Finalized,,,,,,,
4840,FALSE,USFS - Inyo National Forest,,2019,FALSE,/incidents/2019/9/6/springs-fire/,,,Mono,26,,,,,,FALSE,TRUE,,,,37.826,"southeast of Lee Vining, CA",-118.872,FALSE,Springs Fire,100,,TRUE,"The Spring Fire started on uly 26th, 2019 13 miles southeast of Lee Vinning, CA in Mono County.",,2019-09-06T11:24:11Z,Finalized,,,,,,,
4615,FALSE,Los Angeles County Fire Department ,4,2019,FALSE,/incidents/2019/10/24/tick-fire/,"<p> For Evacuation Information <a href=""https://twitter.com/SCVSHERIFF"">Santa Clarita Valley Sheriff</a>",,Los Angeles,19,8,,69,,,FALSE,TRUE,,0,,34.472778,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",-118.368056,TRUE,Tick Fire,100,509,TRUE,"The Tick Fire started October 24, 2019 off Tick Canyon Rd and Summit Knoll Rd, Canyon Country in Los Angeles County.",,2019-10-24T14:51:46Z,Finalized,27,22,,,,,
3435,FALSE,USFS El Dorado National Forest,,2019,FALSE,/incidents/2019/10/11/caples-fire/,,,El Dorado,9,,,,,,FALSE,TRUE,,,,38.724,Northern ridge above Caples Creek north of Highway 88,-120.145,FALSE,Caples Fire,100,,TRUE,"The Caples Fire started October 11, 2019 off Northern ridge above Caples Creek north of Highway 88 in El Dorado county.",,2019-10-11T12:47:59Z,Finalized,,,,,,,
3380,FALSE,Bureau of Land Management ,,2019,FALSE,/incidents/2019/8/28/r-1-fire/,,,Lassen,18,,,,2019-09-04T16:22:00Z,,FALSE,TRUE,,,,40.593,"Hagata Canyon, east of Eagle Lake",-120.581,FALSE,R-1 Fire,100,,TRUE,,"The R-1 Fire started on August 28, 2019 off Horse Lake Rd, north of Susanville in Lassen County.",2019-08-28T19:48:14Z,Finalized,,,,,,,
3126,FALSE,Los Padres National Forest,,2019,FALSE,/incidents/2019/11/25/cave-fire-no-longer-a-cal-fire-incident/,"The Cave Fire is no longer a CAL FIRE Incident. Please visit <a href=""https://inciweb.nwcg.gov/incident/6662/"">https://inciweb.nwcg.gov/incident/6662/</a> for the latest information on the Cave Fire.",,Santa Barbara,42,,,,2019-12-14T08:22:00Z,,FALSE,TRUE,,,,34.5025,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,-119.785,FALSE,Cave Fire (No Longer a CAL FIRE Incident),100,,TRUE,"The Cave Fire started November 25, 2019 near Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest.",,2019-11-25T19:59:12Z,Finalized,,,,,,,
